threePA,ORTG,DRTG
89,118.4,97.2
119,97.4,101.6
38,105.5,91.9
145,118.9,102.7
145,116.8,100.1
104,110.2,102.7
98,110,104.4
62,110,102.5
244,119.5,106.4
57,109.9,101.2
2,115.7,105.2
0,138.9,102.8
32,107.7,101.2
158,107.3,108.3
51,104.2,104.3
21,108.3,92.7
52,108.6,107.1
28,111.4,97.9
51,126.4,108.9
4,112.2,103.8
158,111.7,107.9
117,108.3,110
1,99.5,102.6
80,119.9,108.1
55,111.5,94.9
72,101.7,102.6
42,116.7,102.1
48,138.7,100.6
40,122.5,91.7
75,116.1,98.1
92,112.9,99.9
55,95.3,107.5
47,112.6,107
36,125.8,100.8
57,118.9,107
56,126.1,100.2
38,111.4,102
13,99.1,108.5
83,113.6,109.9
1,122.2,92.5
0,131.8,87
76,102.7,99.6
13,69.4,97.8
19,105.5,107.6
45,119.4,107.8
63,108.7,103.9
87,106.6,108.2
0,118.1,101.3
0,128.6,101.6
34,99.4,110.2
80,119.7,105.8
0,115.2,104.6
95,107,112
29,91.9,101.4
137,110.2,101.8
63,108.8,102.8
57,133.1,104.4
39,105.4,99
32,113.5,100.5
33,125.2,96.4
21,107.5,96.7
16,66.5,97.8
3,114.1,93.7
4,103.6,97.3
35,109,100.8
34,106.1,101.6
0,106.4,109.4
6,107.9,92.5
40,111.6,99.8
24,103.8,106.6
44,107.1,103.5
58,100.5,104.1
40,130,101.3
34,91.5,100
31,100.7,102.9
22,99.1,106.9
5,84.9,91.6
3,112.5,104.9
11,112.3,103.8
21,106.3,111.3
1,115.8,106.9
31,122,109.3
19,103.7,105.3
22,98.7,107.9
1,144.4,98.6
17,110.8,105.5
31,83.8,106.4
2,92.7,101.9
10,73.4,109.7
0,169.4,99.8
37,110.2,100.5
30,118.2,102.3
43,99.1,107.7
18,124.6,106.9
23,114.1,98.1
1,138.4,103.7
31,104.2,108.4
7,94.5,102.5
18,110.6,109.4
1,165.2,96.9
5,127.9,101.3
0,130.7,100.1
24,90.2,106.6
24,103.4,108.1
7,69,101.3
21,89.3,106.5
26,118.3,107.7
37,89.9,104.6
11,102.5,103.2
21,128,110
0,112.7,101.1
8,93,96.2
34,81.6,104.3
20,103.8,100.5
20,85,105.4
9,112.6,104
35,97.8,104.4
13,88.6,102.4
1,115.6,102.7
8,82.2,98.6
18,95.8,98.7
47,110.1,99.6
20,125.2,105
7,110.2,96.1
0,104.2,96
20,114.7,105.5
34,100.4,100.7
30,114.1,102.1
3,130.6,94.9
0,129.3,97.9
29,98.6,97.2
43,83.1,101.8
13,100.4,98
23,97.3,98.8
20,108.5,99.7
6,128.5,107.2
10,80.4,101.9
22,104.4,104.5
11,97.8,103.6
20,99.7,99
9,127.9,103
21,80.8,107.4
4,109.6,94.4
14,101.9,99.6
8,104.9,99.1
5,89.4,97.8
1,95,94.5
22,96.7,111.6
25,97.5,104.5
21,119.1,102.9
15,119.9,109.2
6,102.7,90.6
12,85.7,94.3
7,77.3,102.3
8,115,96.2
0,107.2,96.6
1,125.1,102
8,50.1,103.4
8,105.6,99.4
1,104.9,113
0,164.6,96.8
0,161.7,85.5
7,86.5,107.3
2,79.4,92.5
1,48.3,100.5
8,92,96.1
4,108,106.8
5,188.2,108.1
7,113.8,109.8
0,97.5,107.9
7,62.1,102.5
7,106.6,110.1
0,159,95.6
12,89.9,91.9
3,99.8,113
0,88.3,99.7
0,74.1,94.1
13,116.5,96
1,55.7,82.7
11,72.8,102.3
1,77.5,110.9
0,80.2,96.4
